t[s] h[m]  P[Pa]  ax[g] alfa[deg] beta[deg] pitch[deg] yaw[deg] rol[deg] 
20.411 1475.794 84807.47 1.601 -7.085 40.239 202.497 62.916 -1.259
20.476 1474.407 84821.90 1.604 -3.264 39.509 207.065 63.753 -1.290
20.541 1472.980 84836.75 1.558 0.643 38.745 211.752 64.601 -1.321
20.570 1472.324 84843.57 1.494 2.369 38.399 213.858 64.984 -1.335
20.599 1471.660 84850.48 1.433 4.059 38.052 215.935 65.364 -1.348
20.629 1470.988 84857.47 1.365 5.698 37.707 217.972 65.743 -1.362
20.658 1470.307 84864.56 1.294 7.276 37.364 219.960 66.119 -1.376
20.687 1469.618 84871.73 1.219 8.779 37.023 221.888 66.494 -1.389
20.716 1468.920 84878.99 1.144 10.207 36.686 223.747 66.866 -1.403
20.745 1468.214 84886.35 1.068 11.548 36.352 225.530 67.236 -1.416
20.774 1467.499 84893.79 0.997 12.795 36.021 227.230 67.604 -1.428
20.804 1466.775 84901.32 0.931 13.963 35.695 228.847 67.969 -1.440
20.830 1466.117 84908.17 0.868 14.926 35.405 230.230 68.295 -1.451
20.856 1465.452 84915.10 0.812 15.816 35.119 231.537 68.619 -1.460
20.882 1464.780 84922.10 0.758 16.624 34.836 232.764 68.942 -1.469
20.909 1464.101 84929.17 0.708 17.345 34.557 233.906 69.261 -1.478
20.935 1463.415 84936.31 0.664 17.975 34.281 234.961 69.579 -1.485
20.961 1462.722 84943.53 0.627 18.528 34.008 235.937 69.894 -1.492
20.984 1462.119 84949.80 0.592 18.939 33.776 236.715 70.163 -1.497
21.006 1461.512 84956.12 0.562 19.289 33.546 237.431 70.431 -1.502
21.029 1460.900 84962.50 0.524 19.579 33.318 238.084 70.696 -1.505
21.074 1459.659 84975.42 0.486 19.968 32.869 239.195 71.222 -1.510
21.119 1458.399 84988.56 0.443 20.100 32.426 240.037 71.739 -1.512
21.164 1457.118 85001.90 0.404 19.972 31.988 240.605 72.249 -1.511
21.210 1455.817 85015.46 0.367 19.581 31.554 240.894 72.751 -1.506
21.255 1454.496 85029.22 0.329 18.931 31.122 240.904 73.245 -1.498
21.300 1453.156 85043.20 0.287 18.031 30.691 240.638 73.732 -1.487
21.345 1451.794 85057.39 0.250 16.893 30.259 240.097 74.210 -1.472
21.366 1451.177 85063.83 0.207 16.296 30.065 239.760 74.423 -1.465
21.386 1450.555 85070.32 0.177 15.647 29.870 239.364 74.634 -1.457
21.406 1449.929 85076.84 0.126 14.947 29.675 238.910 74.844 -1.448
21.447 1448.665 85090.03 0.067 13.408 29.282 237.842 75.260 -1.430
21.488 1447.384 85103.38 0.006 11.701 28.887 236.568 75.671 -1.409
21.506 1446.806 85109.41 -0.066 10.880 28.709 235.933 75.853 -1.400
21.524 1446.224 85115.48 -0.114 10.027 28.530 235.258 76.034 -1.390
21.542 1445.640 85121.58 -0.189 9.146 28.351 234.547 76.215 -1.381
21.578 1444.460 85133.89 -0.268 7.312 27.990 233.031 76.574 -1.361
21.615 1443.268 85146.33 -0.367 5.404 27.628 231.411 76.930 -1.340
21.648 1442.183 85157.64 -0.461 3.662 27.302 229.892 77.247 -1.322
21.680 1441.088 85169.07 -0.540 1.915 26.976 228.345 77.563 -1.303
21.713 1439.983 85180.61 -0.608 0.185 26.650 226.794 77.877 -1.285
21.746 1438.868 85192.25 -0.652 -1.508 26.326 225.254 78.189 -1.266
21.760 1438.362 85197.53 -0.696 -2.262 26.179 224.565 78.331 -1.258
21.775 1437.855 85202.82 -0.718 -3.009 26.031 223.878 78.473 -1.250
21.790 1437.345 85208.14 -0.745 -3.746 25.882 223.197 78.617 -1.241
21.819 1436.320 85218.85 -0.756 -5.183 25.582 221.860 78.907 -1.225
21.849 1435.287 85229.64 -0.752 -6.548 25.279 220.574 79.201 -1.209
21.878 1434.246 85240.51 -0.722 -7.816 24.973 219.362 79.498 -1.193
21.908 1433.196 85251.47 -0.670 -8.975 24.666 218.245 79.800 -1.177
21.937 1432.139 85262.51 -0.592 -10.010 24.357 217.235 80.105 -1.162
21.967 1431.075 85273.64 -0.488 -10.909 24.047 216.346 80.415 -1.147
21.996 1430.002 85284.84 -0.362 -11.660 23.734 215.595 80.728 -1.133
22.025 1428.922 85296.12 -0.212 -12.252 23.420 214.994 81.044 -1.120
22.055 1427.835 85307.49 -0.100 -12.676 23.104 214.547 81.365 -1.107
22.068 1427.343 85312.63 0.006 -12.818 22.961 214.395 81.510 -1.102
22.081 1426.850 85317.78 0.076 -12.929 22.818 214.273 81.656 -1.097
22.095 1426.355 85322.95 0.182 -13.010 22.674 214.179 81.803 -1.092
22.121 1425.361 85333.34 0.368 -13.079 22.385 214.084 82.098 -1.084
22.174 1423.356 85354.30 0.514 -12.843 21.802 214.262 82.696 -1.070
22.201 1422.345 85364.88 0.738 -12.539 21.506 214.538 82.999 -1.066
22.227 1421.327 85375.52 0.847 -12.114 21.207 214.942 83.304 -1.062
22.239 1420.867 85380.33 0.969 -11.876 21.071 215.169 83.443 -1.061
22.251 1420.406 85385.15 1.041 -11.611 20.934 215.425 83.582 -1.059
22.263 1419.944 85389.98 1.146 -11.316 20.796 215.711 83.722 -1.058
22.287 1419.016 85399.69 1.239 -10.646 20.518 216.367 84.004 -1.056
22.311 1418.083 85409.45 1.402 -9.872 20.235 217.134 84.289 -1.055
22.358 1416.202 85429.13 1.477 -8.041 19.658 218.971 84.867 -1.053
22.380 1415.364 85437.90 1.583 -7.120 19.397 219.907 85.126 -1.052
22.401 1414.521 85446.72 1.615 -6.140 19.132 220.909 85.388 -1.052
22.422 1413.674 85455.58 1.627 -5.116 18.864 221.969 85.653 -1.052
22.443 1412.824 85464.48 1.623 -4.047 18.592 223.078 85.920 -1.052
22.464 1411.969 85473.43 1.600 -2.946 18.318 224.227 86.190 -1.052
22.485 1411.110 85482.42 1.561 -1.823 18.040 225.408 86.463 -1.053
22.506 1410.247 85491.46 1.508 -0.684 17.759 226.612 86.739 -1.053
22.527 1409.379 85500.54 1.457 0.462 17.475 227.826 87.017 -1.053
22.537 1408.987 85504.64 1.393 0.972 17.347 228.371 87.142 -1.053
22.546 1408.595 85508.75 1.350 1.477 17.220 228.912 87.266 -1.053
22.556 1408.201 85512.87 1.284 1.976 17.094 229.449 87.391 -1.053
22.575 1407.411 85521.14 1.215 2.954 16.842 230.505 87.638 -1.054
22.594 1406.618 85529.45 1.124 3.896 16.591 231.532 87.884 -1.054
22.613 1405.822 85537.79 1.033 4.796 16.343 232.524 88.128 -1.054
22.632 1405.021 85546.17 0.945 5.648 16.097 233.474 88.371 -1.054
22.651 1404.218 85554.59 0.859 6.445 15.853 234.374 88.612 -1.054
22.670 1403.410 85563.05 0.778 7.176 15.611 235.218 88.852 -1.054
22.689 1402.600 85571.54 0.702 7.842 15.372 235.999 89.090 -1.053
22.708 1401.785 85580.08 0.602 8.435 15.134 236.712 89.326 -1.053
22.746 1400.146 85597.25 0.543 9.387 14.666 237.916 89.794 -1.051
22.763 1399.409 85604.97 0.469 9.710 14.460 238.355 90.001 -1.050
22.780 1398.670 85612.72 0.429 9.969 14.256 238.732 90.206 -1.048
22.797 1397.928 85620.50 0.378 10.163 14.053 239.046 90.410 -1.047
22.830 1396.435 85636.15 0.331 10.354 13.651 239.475 90.815 -1.043
22.864 1394.931 85651.92 0.272 10.280 13.254 239.640 91.214 -1.038
22.898 1393.415 85667.81 0.213 9.948 12.862 239.542 91.608 -1.032
22.932 1391.889 85683.82 0.107 9.369 12.473 239.189 91.998 -1.025
23.000 1388.803 85716.19 0.027 7.552 11.706 237.791 92.761 -1.007
23.029 1387.465 85730.22 -0.120 6.535 11.380 236.931 93.083 -0.999
23.058 1386.119 85744.35 -0.221 5.407 11.056 235.945 93.402 -0.990
23.087 1384.765 85758.56 -0.325 4.207 10.734 234.864 93.718 -0.981
23.117 1383.403 85772.86 -0.423 2.944 10.414 233.714 94.031 -0.971
23.143 1382.169 85785.81 -0.511 1.793 10.127 232.644 94.310 -0.963
23.169 1380.930 85798.82 -0.585 0.639 9.842 231.562 94.587 -0.954
23.195 1379.683 85811.91 -0.636 -0.500 9.559 230.482 94.863 -0.946
23.208 1379.058 85818.48 -0.687 -1.068 9.416 229.942 95.002 -0.942
23.221 1378.431 85825.06 -0.716 -1.632 9.272 229.403 95.142 -0.937
23.234 1377.802 85831.67 -0.740 -2.190 9.126 228.868 95.284 -0.933
23.248 1377.171 85838.29 -0.759 -2.739 8.980 228.338 95.426 -0.929
23.261 1376.539 85844.93 -0.777 -3.278 8.832 227.817 95.570 -0.925
23.287 1375.270 85858.26 -0.773 -4.313 8.533 226.809 95.861 -0.916
23.313 1373.995 85871.65 -0.747 -5.268 8.230 225.867 96.157 -0.908
23.339 1372.714 85885.12 -0.690 -6.132 7.923 225.010 96.458 -0.900
23.365 1371.426 85898.65 -0.592 -6.882 7.611 224.257 96.764 -0.892
23.392 1370.132 85912.25 -0.467 -7.489 7.296 223.630 97.074 -0.885
23.415 1368.963 85924.54 -0.317 -7.912 7.008 223.188 97.357 -0.879
23.439 1367.789 85936.88 -0.152 -8.204 6.717 222.872 97.645 -0.873
23.462 1366.610 85949.28 0.025 -8.360 6.422 222.687 97.936 -0.868
23.486 1365.426 85961.73 0.210 -8.379 6.124 222.640 98.231 -0.864
23.510 1364.237 85974.23 0.488 -8.258 5.822 222.733 98.530 -0.859
23.557 1361.846 85999.38 0.740 -7.602 5.205 223.335 99.141 -0.852
23.604 1359.435 86024.75 1.013 -6.429 4.569 224.468 99.768 -0.847
23.651 1357.004 86050.32 1.169 -4.815 3.915 226.064 100.413 -0.843
23.698 1354.554 86076.11 1.201 -2.898 3.240 228.012 101.077 -0.840
23.741 1352.331 86099.52 1.139 -0.998 2.613 229.962 101.692 -0.838
23.779 1350.315 86120.74 1.043 0.764 2.035 231.781 102.256 -0.836
23.796 1349.404 86130.34 0.917 1.535 1.776 232.593 102.511 -0.835
23.813 1348.490 86139.97 0.832 2.284 1.519 233.384 102.763 -0.834
23.830 1347.573 86149.63 0.745 3.000 1.264 234.149 103.014 -0.833
23.848 1346.653 86159.32 0.661 3.679 1.010 234.879 103.263 -0.833
23.865 1345.730 86169.04 0.579 4.315 0.759 235.571 103.511 -0.832
23.882 1344.805 86178.79 0.501 4.897 0.509 236.216 103.757 -0.831
23.899 1343.877 86188.57 0.428 5.427 0.261 236.809 104.001 -0.830
23.916 1342.945 86198.39 0.360 5.896 0.016 237.345 104.243 -0.829
23.933 1342.011 86208.23 0.299 6.300 -0.227 237.819 104.483 -0.827
23.951 1341.074 86218.10 0.242 6.627 -0.467 238.225 104.720 -0.826
23.968 1340.135 86228.01 0.190 6.885 -0.704 238.559 104.955 -0.825
23.985 1339.192 86237.95 0.143 7.065 -0.938 238.818 105.186 -0.825
24.002 1338.247 86247.92 0.100 7.167 -1.169 239.001 105.416 -0.825
24.019 1337.298 86257.92 0.038 7.192 -1.398 239.106 105.642 -0.825
24.054 1335.393 86278.01 -0.019 7.012 -1.848 239.087 106.087 -0.826
24.085 1333.669 86296.19 -0.102 6.600 -2.245 238.815 106.479 -0.827
24.116 1331.936 86314.48 -0.185 5.972 -2.633 238.321 106.861 -0.830
24.144 1330.368 86331.02 -0.271 5.263 -2.976 237.713 107.199 -0.832
24.169 1328.950 86345.98 -0.361 4.516 -3.279 237.054 107.496 -0.835
24.194 1327.527 86361.01 -0.448 3.689 -3.576 236.307 107.787 -0.838
24.219 1326.097 86376.10 -0.535 2.811 -3.867 235.495 108.073 -0.841
24.244 1324.662 86391.25 -0.618 1.892 -4.152 234.638 108.352 -0.844
24.269 1323.220 86406.47 -0.690 0.961 -4.432 233.757 108.625 -0.847
24.294 1321.773 86421.75 -0.750 0.032 -4.705 232.872 108.893 -0.850
24.319 1320.320 86437.10 -0.790 -0.877 -4.973 231.995 109.156 -0.853
24.332 1319.591 86444.80 -0.830 -1.327 -5.107 231.561 109.287 -0.854
24.344 1318.861 86452.52 -0.850 -1.770 -5.241 231.131 109.419 -0.856
24.357 1318.129 86460.25 -0.865 -2.205 -5.376 230.707 109.551 -0.857
24.369 1317.396 86467.99 -0.872 -2.629 -5.511 230.293 109.683 -0.859
24.382 1316.661 86475.76 -0.874 -3.039 -5.647 229.890 109.816 -0.860
24.394 1315.925 86483.53 -0.860 -3.433 -5.783 229.501 109.949 -0.862
24.419 1314.449 86499.14 -0.821 -4.164 -6.056 228.778 110.217 -0.864
24.444 1312.967 86514.80 -0.750 -4.792 -6.332 228.144 110.487 -0.867
24.467 1311.628 86528.95 -0.652 -5.263 -6.581 227.665 110.732 -0.869
24.489 1310.285 86543.15 -0.466 -5.632 -6.832 227.284 110.979 -0.870
24.535 1307.585 86571.70 -0.275 -6.033 -7.340 226.853 111.477 -0.873
24.570 1305.418 86594.62 -0.008 -6.010 -7.751 226.847 111.881 -0.874
24.603 1303.459 86615.35 0.224 -5.725 -8.124 227.107 112.248 -0.875
24.635 1301.490 86636.18 0.419 -5.199 -8.502 227.612 112.619 -0.874
24.668 1299.512 86657.11 0.569 -4.450 -8.885 228.346 112.995 -0.874
24.700 1297.525 86678.14 0.660 -3.509 -9.272 229.283 113.374 -0.873
24.732 1295.529 86699.28 0.691 -2.427 -9.662 230.380 113.757 -0.871
24.765 1293.522 86720.53 0.665 -1.231 -10.057 231.595 114.144 -0.870
24.797 1291.506 86741.88 0.611 0.014 -10.455 232.870 114.532 -0.869
24.812 1290.596 86751.53 0.530 0.566 -10.631 233.445 114.705 -0.868
24.826 1289.684 86761.19 0.473 1.108 -10.805 234.010 114.876 -0.868
24.841 1288.769 86770.88 0.414 1.632 -10.977 234.561 115.044 -0.867
24.855 1287.853 86780.59 0.353 2.136 -11.146 235.093 115.210 -0.867
24.870 1286.935 86790.32 0.293 2.612 -11.313 235.603 115.373 -0.866
24.885 1286.014 86800.08 0.233 3.060 -11.478 236.084 115.534 -0.866
24.899 1285.092 86809.85 0.176 3.474 -11.640 236.535 115.693 -0.865
24.914 1284.167 86819.65 0.123 3.850 -11.800 236.951 115.850 -0.865
24.928 1283.241 86829.47 0.071 4.183 -11.958 237.327 116.005 -0.865
24.943 1282.313 86839.31 0.021 4.473 -12.114 237.661 116.157 -0.864
24.958 1281.382 86849.18 -0.024 4.715 -12.268 237.949 116.308 -0.864
24.972 1280.450 86859.07 -0.067 4.909 -12.420 238.191 116.456 -0.864
24.987 1279.515 86868.98 -0.106 5.053 -12.570 238.384 116.603 -0.864
25.001 1278.579 86878.91 -0.161 5.146 -12.718 238.527 116.747 -0.865
25.030 1276.700 86898.84 -0.249 5.181 -13.008 238.661 117.030 -0.866
25.089 1272.917 86938.97 -0.359 4.663 -13.564 238.346 117.572 -0.869
25.147 1269.103 86979.46 -0.477 3.472 -14.090 237.348 118.083 -0.874
25.176 1267.183 86999.84 -0.604 2.703 -14.341 236.650 118.326 -0.877
25.205 1265.256 87020.31 -0.683 1.854 -14.584 235.866 118.562 -0.880
25.234 1263.321 87040.86 -0.750 0.971 -14.819 235.034 118.789 -0.883
25.264 1261.377 87061.51 -0.800 0.080 -15.046 234.187 119.009 -0.886
25.293 1259.426 87082.24 -0.830 -0.787 -15.266 233.349 119.223 -0.889
25.307 1258.448 87092.64 -0.860 -1.213 -15.375 232.937 119.329 -0.890
25.322 1257.467 87103.06 -0.871 -1.629 -15.485 232.532 119.435 -0.892
25.336 1256.485 87113.50 -0.872 -2.031 -15.594 232.138 119.541 -0.893
25.351 1255.501 87123.96 -0.864 -2.414 -15.704 231.761 119.647 -0.895
25.366 1254.515 87134.44 -0.846 -2.774 -15.814 231.404 119.753 -0.896
25.380 1253.526 87144.95 -0.797 -3.108 -15.924 231.071 119.860 -0.897
25.409 1251.544 87166.03 -0.724 -3.681 -16.145 230.496 120.073 -0.900
25.438 1249.555 87187.19 -0.592 -4.108 -16.367 230.061 120.288 -0.903
25.468 1247.558 87208.43 -0.436 -4.353 -16.589 229.794 120.503 -0.905
25.494 1245.754 87227.62 -0.275 -4.415 -16.791 229.714 120.698 -0.907
25.517 1244.126 87244.95 -0.118 -4.336 -16.973 229.774 120.874 -0.907
25.541 1242.492 87262.34 0.025 -4.131 -17.157 229.962 121.051 -0.908
25.565 1240.854 87279.78 0.153 -3.805 -17.341 230.273 121.229 -0.908
25.588 1239.211 87297.27 0.254 -3.368 -17.526 230.699 121.407 -0.908
25.612 1237.563 87314.82 0.329 -2.841 -17.711 231.226 121.587 -0.907
25.636 1235.909 87332.43 0.377 -2.227 -17.896 231.840 121.766 -0.907
25.659 1234.251 87350.09 0.392 -1.550 -18.083 232.525 121.946 -0.907
25.683 1232.588 87367.81 0.381 -0.831 -18.269 233.261 122.127 -0.906
25.706 1230.920 87385.59 0.346 -0.084 -18.456 234.029 122.308 -0.906
25.730 1229.246 87403.42 0.306 0.670 -18.644 234.807 122.488 -0.906
25.742 1228.408 87412.36 0.253 1.035 -18.735 235.189 122.577 -0.905
25.754 1227.568 87421.31 0.215 1.390 -18.826 235.562 122.665 -0.905
25.765 1226.726 87430.28 0.176 1.730 -18.915 235.922 122.751 -0.905
25.777 1225.884 87439.27 0.136 2.053 -19.003 236.267 122.836 -0.905
25.789 1225.040 87448.26 0.096 2.356 -19.090 236.594 122.919 -0.905
25.801 1224.195 87457.27 0.056 2.638 -19.175 236.901 123.001 -0.905
25.813 1223.348 87466.30 -0.001 2.896 -19.259 237.186 123.082 -0.905
25.836 1221.652 87484.40 -0.054 3.337 -19.423 237.683 123.240 -0.904
25.860 1219.950 87502.55 -0.119 3.667 -19.582 238.074 123.392 -0.904
25.883 1218.242 87520.77 -0.179 3.878 -19.736 238.349 123.540 -0.904
25.907 1216.530 87539.04 -0.237 3.955 -19.885 238.498 123.683 -0.904
25.931 1214.812 87557.37 -0.296 3.909 -20.030 238.520 123.821 -0.905
25.954 1213.089 87575.76 -0.353 3.737 -20.170 238.418 123.954 -0.905
25.978 1211.361 87594.21 -0.407 3.462 -20.305 238.204 124.083 -0.906
25.999 1209.801 87610.87 -0.460 3.128 -20.423 237.926 124.195 -0.907
26.020 1208.237 87627.57 -0.510 2.727 -20.536 237.575 124.303 -0.908
26.042 1206.669 87644.32 -0.561 2.268 -20.646 237.163 124.407 -0.909
26.063 1205.097 87661.12 -0.610 1.765 -20.752 236.701 124.507 -0.910
26.084 1203.520 87677.96 -0.653 1.236 -20.854 236.207 124.603 -0.911
26.105 1201.940 87694.85 -0.687 0.690 -20.952 235.693 124.696 -0.912
26.127 1200.355 87711.79 -0.710 0.145 -21.046 235.173 124.785 -0.913
26.148 1198.766 87728.78 -0.736 -0.391 -21.137 234.656 124.871 -0.914
26.169 1197.172 87745.81 -0.755 -0.926 -21.228 234.143 124.955 -0.915
26.179 1196.454 87753.49 -0.762 -1.159 -21.268 233.914 124.993 -0.915
26.188 1195.735 87761.18 -0.763 -1.389 -21.308 233.690 125.031 -0.916
26.198 1195.015 87768.88 -0.760 -1.611 -21.348 233.471 125.069 -0.916
26.207 1194.294 87776.59 -0.752 -1.827 -21.388 233.258 125.106 -0.916
26.217 1193.573 87784.30 -0.739 -2.033 -21.427 233.053 125.143 -0.917
26.226 1192.850 87792.03 -0.722 -2.228 -21.467 232.858 125.180 -0.917
26.236 1192.127 87799.77 -0.701 -2.413 -21.506 232.673 125.217 -0.917
26.246 1191.403 87807.51 -0.674 -2.584 -21.545 232.500 125.253 -0.918
26.255 1190.678 87815.27 -0.628 -2.742 -21.584 232.340 125.290 -0.918
26.274 1189.226 87830.80 -0.528 -3.013 -21.661 232.062 125.362 -0.919
26.313 1186.312 87861.99 -0.400 -3.359 -21.813 231.699 125.503 -0.921
26.345 1183.814 87888.73 -0.217 -3.426 -21.940 231.613 125.621 -0.922
26.375 1181.558 87912.89 -0.045 -3.299 -22.052 231.721 125.725 -0.923
26.404 1179.294 87937.14 0.105 -2.999 -22.162 232.004 125.827 -0.924
26.433 1177.022 87961.47 0.228 -2.540 -22.270 232.452 125.927 -0.925
26.463 1174.743 87985.89 0.309 -1.944 -22.375 233.041 126.024 -0.927
26.492 1172.456 88010.40 0.350 -1.253 -22.478 233.741 126.119 -0.928
26.522 1170.161 88035.00 0.353 -0.488 -22.578 234.518 126.212 -0.929
26.548 1168.089 88057.22 0.331 0.223 -22.665 235.247 126.292 -0.930
26.561 1167.050 88068.35 0.292 0.569 -22.707 235.609 126.331 -0.930
26.574 1166.010 88079.50 0.260 0.906 -22.748 235.961 126.368 -0.931
26.588 1164.969 88090.68 0.227 1.227 -22.788 236.301 126.404 -0.932
26.601 1163.926 88101.87 0.192 1.530 -22.826 236.625 126.439 -0.932
26.614 1162.881 88113.07 0.156 1.812 -22.862 236.929 126.472 -0.933
26.627 1161.834 88124.30 0.119 2.070 -22.898 237.211 126.504 -0.933
26.641 1160.786 88135.55 0.082 2.298 -22.932 237.467 126.535 -0.934
26.654 1159.737 88146.81 0.046 2.497 -22.965 237.694 126.564 -0.934
26.667 1158.685 88158.09 -0.006 2.664 -22.997 237.891 126.593 -0.935
26.694 1156.578 88180.71 -0.055 2.897 -23.057 238.186 126.645 -0.936
26.720 1154.464 88203.41 -0.117 2.990 -23.112 238.344 126.693 -0.937
26.746 1152.344 88226.18 -0.176 2.945 -23.162 238.363 126.736 -0.938
26.773 1150.217 88249.02 -0.265 2.766 -23.208 238.249 126.774 -0.939
26.826 1145.944 88294.93 -0.351 2.065 -23.284 237.675 126.836 -0.941
26.879 1141.645 88341.13 -0.441 1.043 -23.342 236.762 126.881 -0.943
26.926 1137.755 88382.96 -0.485 0.044 -23.378 235.817 126.905 -0.944
26.948 1135.997 88401.87 -0.508 -0.399 -23.390 235.390 126.912 -0.945
26.969 1134.236 88420.82 -0.510 -0.835 -23.400 234.970 126.915 -0.946
26.991 1132.470 88439.82 -0.498 -1.245 -23.406 234.566 126.917 -0.947
27.010 1130.884 88456.88 -0.472 -1.586 -23.410 234.229 126.915 -0.947
27.029 1129.295 88473.98 -0.431 -1.889 -23.411 233.926 126.912 -0.948
27.048 1127.703 88491.12 -0.372 -2.148 -23.410 233.664 126.906 -0.949
27.067 1126.107 88508.30 -0.298 -2.350 -23.407 233.454 126.898 -0.950
27.087 1124.509 88525.52 -0.214 -2.492 -23.402 233.303 126.888 -0.950
27.106 1122.907 88542.77 -0.120 -2.569 -23.394 233.215 126.875 -0.951
27.125 1121.301 88560.06 -0.023 -2.578 -23.384 233.194 126.860 -0.952
27.144 1119.693 88577.39 0.076 -2.519 -23.372 233.242 126.842 -0.952
27.163 1118.081 88594.75 0.213 -2.393 -23.357 233.357 126.822 -0.953
27.202 1114.848 88629.60 0.315 -1.953 -23.319 233.777 126.774 -0.954
27.236 1111.927 88661.08 0.414 -1.392 -23.275 234.338 126.722 -0.955
27.267 1109.290 88689.53 0.463 -0.778 -23.228 234.953 126.667 -0.957
27.295 1106.908 88715.21 0.472 -0.182 -23.179 235.564 126.611 -0.958
27.323 1104.520 88740.98 0.459 0.430 -23.124 236.193 126.550 -0.958
27.336 1103.443 88752.60 0.424 0.693 -23.098 236.470 126.520 -0.959
27.349 1102.364 88764.24 0.397 0.945 -23.071 236.737 126.491 -0.959
27.361 1101.284 88775.90 0.368 1.182 -23.044 236.991 126.460 -0.960
27.374 1100.203 88787.57 0.338 1.402 -23.016 237.229 126.429 -0.960
27.386 1099.120 88799.26 0.307 1.602 -22.987 237.449 126.397 -0.961
27.399 1098.036 88810.97 0.276 1.780 -22.958 237.649 126.365 -0.961
27.412 1096.950 88822.69 0.230 1.935 -22.928 237.826 126.331 -0.961
27.437 1094.775 88846.19 0.184 2.168 -22.866 238.107 126.263 -0.962
27.462 1092.593 88869.75 0.125 2.285 -22.801 238.278 126.193 -0.963
27.485 1090.625 88891.01 0.072 2.293 -22.741 238.334 126.127 -0.964
27.505 1088.849 88910.20 0.022 2.222 -22.686 238.307 126.066 -0.965
27.526 1087.070 88929.43 -0.025 2.081 -22.629 238.209 126.004 -0.965
27.546 1085.287 88948.70 -0.069 1.879 -22.570 238.047 125.940 -0.966
27.566 1083.500 88968.02 -0.110 1.628 -22.509 237.830 125.875 -0.966
27.587 1081.710 88987.38 -0.148 1.332 -22.447 237.569 125.808 -0.967
27.607 1079.915 89006.79 -0.180 1.007 -22.383 237.272 125.739 -0.968
27.628 1078.117 89026.24 -0.206 0.663 -22.318 236.953 125.669 -0.968
27.648 1076.316 89045.73 -0.224 0.310 -22.251 236.621 125.598 -0.969
27.668 1074.510 89065.27 -0.236 -0.041 -22.183 236.284 125.524 -0.970
27.689 1072.701 89084.85 -0.241 -0.397 -22.110 235.946 125.447 -0.970
27.698 1071.886 89093.67 -0.240 -0.553 -22.075 235.794 125.411 -0.971
27.707 1071.070 89102.51 -0.236 -0.707 -22.040 235.644 125.374 -0.971
27.716 1070.253 89111.35 -0.229 -0.857 -22.005 235.497 125.336 -0.971
27.726 1069.435 89120.20 -0.219 -1.002 -21.968 235.354 125.297 -0.972
27.735 1068.617 89129.06 -0.199 -1.141 -21.930 235.216 125.257 -0.972
27.753 1066.978 89146.81 -0.169 -1.399 -21.852 234.959 125.175 -0.972
27.771 1065.336 89164.59 -0.121 -1.620 -21.770 234.735 125.089 -0.973
27.790 1063.691 89182.41 -0.062 -1.802 -21.685 234.549 125.000 -0.974
27.808 1062.044 89200.26 0.047 -1.937 -21.596 234.407 124.906 -0.974
27.845 1058.739 89236.07 0.124 -2.054 -21.406 234.277 124.708 -0.975
27.861 1057.249 89252.23 0.252 -2.031 -21.315 234.289 124.613 -0.976
27.878 1055.756 89268.41 0.327 -1.963 -21.221 234.348 124.516 -0.976
27.895 1054.260 89284.63 0.399 -1.854 -21.124 234.451 124.415 -0.977
27.911 1052.762 89300.87 0.466 -1.704 -21.023 234.594 124.310 -0.977
27.928 1051.262 89317.14 0.524 -1.517 -20.919 234.777 124.202 -0.978
27.944 1049.760 89333.44 0.573 -1.296 -20.810 234.995 124.091 -0.978
27.961 1048.255 89349.77 0.611 -1.047 -20.699 235.244 123.975 -0.979
27.977 1046.747 89366.12 0.639 -0.775 -20.583 235.519 123.857 -0.979
27.994 1045.238 89382.51 0.656 -0.486 -20.464 235.813 123.734 -0.980
28.010 1043.725 89398.92 0.664 -0.186 -20.341 236.121 123.608 -0.980
28.027 1042.211 89415.36 0.649 0.120 -20.214 236.436 123.479 -0.981
28.043 1040.694 89431.83 0.625 0.413 -20.089 236.744 123.349 -0.981
28.058 1039.327 89446.68 0.597 0.668 -19.973 237.010 123.232 -0.982
28.072 1038.094 89460.06 0.562 0.879 -19.871 237.237 123.126 -0.982
28.085 1036.860 89473.47 0.532 1.075 -19.769 237.449 123.021 -0.982
28.098 1035.625 89486.89 0.499 1.252 -19.666 237.644 122.916 -0.983
28.112 1034.388 89500.33 0.465 1.405 -19.564 237.817 122.811 -0.983
28.125 1033.149 89513.79 0.431 1.535 -19.461 237.968 122.706 -0.984
28.139 1031.909 89527.27 0.380 1.640 -19.359 238.094 122.601 -0.984
28.165 1029.423 89554.28 0.333 1.768 -19.154 238.267 122.391 -0.985
28.189 1027.181 89578.66 0.271 1.791 -18.970 238.331 122.202 -0.985
28.213 1024.933 89603.10 0.215 1.726 -18.786 238.308 122.013 -0.986
28.238 1022.680 89627.60 0.160 1.582 -18.601 238.204 121.824 -0.987
28.262 1020.422 89652.16 0.107 1.366 -18.417 238.026 121.636 -0.987
28.286 1018.159 89676.78 0.061 1.093 -18.233 237.787 121.447 -0.988
28.310 1015.891 89701.47 0.020 0.781 -18.049 237.503 121.259 -0.989
28.334 1013.618 89726.22 -0.011 0.442 -17.864 237.191 121.070 -0.989
28.358 1011.339 89751.03 -0.031 0.099 -17.680 236.866 120.881 -0.990
28.382 1009.055 89775.90 -0.037 -0.239 -17.495 236.542 120.691 -0.991
28.404 1006.996 89798.33 -0.032 -0.538 -17.320 236.257 120.515 -0.991
